Name,Brand,Price,Link
Men White Clarkin Sneakers,U.S. Polo Assn.,"? 1,799",https://www.myntra.com/casual-shoes/us-polo-assn/us-polo-assn-men-white-clarkin-sneakers/10339033/buy
Men White Slim Fit Casual Shirt,HIGHLANDER,? 571,https://www.myntra.com/shirts/highlander/highlander-men-white-slim-fit-casual-shirt/2050688/buy
Men Blue Tapered Fit Mid-Rise Clean Look Stretchable Jeans,HIGHLANDER,? 662,https://www.myntra.com/jeans/highlander/highlander-men-blue-tapered-fit-mid-rise-clean-look-stretchable-jeans/8706059/buy
Men White Pure Cotton T-shirt,Roadster," ?299
",https://www.myntra.com/tshirts/roadster/roadster-men-white--pure-cotton-t-shirt/2275365/buy
Men Black BEESLEY 4.0 Printed Sliders,U.S. Polo Assn.,"?991
",https://www.myntra.com/flip-flops/us-polo-assn/us-polo-assn-men-black-beesley-40-printed-sliders/17277676/buy
Men Navy Blue Polo Collar T-shirt,Louis Philippe,"? 1,044",https://www.myntra.com/tshirts/louis-philippe/louis-philippe-men-navy-blue-polo-collar-t-shirt/14047672/buy
Men Black Solid Track Pants,ADIDAS,"? 1,399",https://www.myntra.com/track-pants/adidas/adidas-men-black-solid-track-pants/18153272/buy
Men White Dri-FIT Solid Full Sleeve Running T-shirt,Nike,"?2245
",https://www.myntra.com/tshirts/nike/nike-men-white-dri-fit-solid-full-sleeve-running-t-shirt/20457804/buy
Men Light Blue Solid Slim Fit Pure Cotton Casual Shirt,Levis,"? 1,379",https://www.myntra.com/shirts/levis/levis-men-light-blue-solid-slim-fit-pure-cotton-casual-shirt/18974290/buy
Men Solid Oversized T-shirt,DILLINGER,? 495,https://www.myntra.com/tshirts/dillinger/dillinger-men-solid-oversized-t-shirt/20355854/buy
Men Navy Blue & Orange Brand Logo Printed Pure Cotton Casual T-shirt,Levis,"?839
",https://www.myntra.com/tshirts/levis/levis-men-navy-blue--orange-brand-logo-printed-pure-cotton-casual-t-shirt/18087710/buy
Men Pure Cotton Slim Fit Striped Casual Shirt,Louis Philippe Sport,"? 1,439",https://www.myntra.com/shirts/louis-philippe-sport/louis-philippe-sport-men-pure-cotton-slim-fit-striped-casual-shirt/21197960/buy
Men BSC Cordless Beard Trimmer,Bombay Shaving Company,? 699,https://www.myntra.com/trimmer/bombay-shaving-company/bombay-shaving-company-men-bsc-cordless-beard-trimmer/15579796/buy
Men Cotton Casual Shirt,t-base,? 899,https://www.myntra.com/shirts/t-base/t-base-men-cotton-casual-shirt/21702976/buy
Men Grey Regular Fit Solid Trousers,Roadster,"?714
",https://www.myntra.com/trousers/roadster/roadster-men-grey-regular-fit-solid-trousers/13859292/buy
Men Black & Coffee Brown Textured Reversible Formal Belt,Ultimo,? 519,https://www.myntra.com/belts/ultimo/ultimo-men-black--coffee-brown-textured-reversible-formal-belt/13341520/buy
Men Black Solid Brogues,MICHAEL ANGELO,"? 1,234",https://www.myntra.com/formal-shoes/michael-angelo/michael-angelo-men-black-solid-brogues/16966218/buy
Men Black & Magenta Printed Skinny Tie,Alvaro Castagnino,? 399,https://www.myntra.com/ties/alvaro-castagnino/alvaro-castagnino-men-black--magenta-printed-skinny-tie/16836658/buy
Men Grey Solid Slim Fit Cotton Formal Trousers,Hancock,"?724
",https://www.myntra.com/trousers/hancock/hancock-men-grey-solid-slim-fit-cotton-formal-trousers/14017018/buy
Men Black Classic Printed Cotton Formal Shirt,SOJANYA,? 764,https://www.myntra.com/shirts/sojanya/sojanya-men-black-classic-printed-cotton-formal-shirt/14089508/buy
