Name,Company,Price,Shop_from,Description,Link
Galaxy S22 Ultra 5G,Samsung,"? 95,500",Flipkart,"12 GB RAM | 256 GB ROM
17.27 cm (6.8 inch) Quad HD+ Display
Octa Core Processor",https://www.flipkart.com/samsung-galaxy-s22-ultra-5g-phantom-white-256-gb/p/itm497b5d9c2d18e?pid=MOBGGG2YXGCNUHAW&lid=LSTMOBGGG2YXGCNUHAWQ7DCWB&marketplace=FLIPKART&q=Samsung+Galaxy+S22+Ultra+5G&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=e5b5bff7-5dac-4659-8261-adc09d894af4.MOBGGG2YXGCNUHAW.SEARCH&ppt=sp&ppn=sp&ssid=4if1qt926o0000001679596350186&qH=97c9c81cf339a13b
Galaxy A53 5G,Samsung,"? 31,999",Flipkart,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
16.51 cm (6.5 inch) Full HD+ Display
Exynos Octa Core Processor Processor",https://www.flipkart.com/samsung-galaxy-a53-awesome-peach-128-gb/p/itm83d91b60a2f84?pid=MOBGCFVYGKFY7EFT&lid=LSTMOBGCFVYGKFY7EFT8AE0BR&marketplace=FLIPKART&q=Galaxy+A53+5G&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=c0feea2d-1cb8-4d23-a589-573d8b297f28.MOBGCFVYGKFY7EFT.SEARCH&ppt=sp&ppn=sp&ssid=9g81hnaauo0000001679664533314&qH=e71f4787bea20427
 iPhone 14 Pro Max,Apple ,"? 1,28,099",Flipkart,"128 GB ROM
17.02 cm (6.7 inch) Super Retina XDR Display
6 Core Processor Processor",https://www.flipkart.com/apple-iphone-14-pro-max-deep-purple-128-gb/p/itm5256789ae40c7?pid=MOBGHWFHCWHXRZZJ&lid=LSTMOBGHWFHCWHXRZZJNGJFTD&marketplace=FLIPKART&q=Apple+iPhone+14+Pro+Max&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=ca4ade23-8396-4f4c-8e97-8dea5570549e.MOBGHWFHCWHXRZZJ.SEARCH&ppt=sp&ppn=sp&ssid=a6s67n5lyo0000001679664678488&qH=c72cdccc35aeac6b
Realme 10 Pro+,Realme,"? 18,999",Flipkart,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.07 cm (6.72 inch) Full HD+ Display
Qualcomm Snapdragon 695 5G Processor",https://www.flipkart.com/realme-10-pro-5g-nebula-blue-128-gb/p/itm1e672d12a252e?pid=MOBGK8VHX6FDJPCE&lid=LSTMOBGK8VHX6FDJPCEW9XIEE&marketplace=FLIPKART&q=Realme+10+Pro%2B&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=f93fbc49-e9bf-465d-841f-c092bbc206c5.MOBGK8VHX6FDJPCE.SEARCH&ppt=sp&ppn=sp&ssid=3xkaynwec00000001679664801726&qH=e2501edc967fbb05
 iPhone XR,Apple,"? 94,900",Amazon,"512 GB ROM
13 cm (5.4-inch) Super Retina XDR  Display
A12 Bionic Chip Processor",https://www.amazon.in/Apple-iPhone-13-Mini-512GB/dp/B09G9CRB53/ref=sr_1_2_sspa?crid=2ZA5WB5MYA03O&keywords=Apple+iPhone+XR&qid=1679665367&sprefix=apple+iphone+xr%2Caps%2C596&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
 Redmi Note 12 Pro+,Xiaomi,"? 27,889",Amazon,"8 GB RAM | 128 GB ROM
16.94 cm (6.67 inch) Full HD Display
Mediatek Dimensity 1080 Processor",https://www.amazon.in/Redmi-Note-Glacier-128GB-Storage/dp/B0BX9YZNNM/ref=sr_1_2?crid=3RGWBC9S32KHM&keywords=Xiaomi+Redmi+Note+12+Pro%2B&qid=1679673376&sprefix=xiaomi+redmi+note+12+pro%2B%2Caps%2C582&sr=8-2
vivo iQOO 11 Pro,vivo,"? 28,990",Flipkart,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.28 cm (6.41 inch) Full HD+ Display
2.0 GHz Qualcomm Snapdragon 660 AIE Processor",https://www.flipkart.com/vivo-v11-pro-starry-night-black-64-gb/p/itmfeufpyt2fqfey?pid=MOBF8DN39BNRRXEZ&lid=LSTMOBF8DN39BNRRXEZAAXZ2C&marketplace=FLIPKART&q=vivo+iQOO+11+Pro&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=8694fb0a-f320-4393-bd3a-a7e165d15f6a.MOBF8DN39BNRRXEZ.SEARCH&ppt=sp&ppn=sp&ssid=fbvrgc38lc0000001679673540760&qH=effd3c5796004d78
 iPhone X,Apple ,"? 1,06,900",Flipkart,"256 GB ROM
14.73 cm (5.8 inch) Super Retina HD Display
A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",https://www.flipkart.com/apple-iphone-x-silver-256-gb/p/itmexrgv4cgmrxxp?pid=MOBEXRGVVTMF9FYV&lid=LSTMOBEXRGVVTMF9FYVKHKOAY&marketplace=FLIPKART&q=Apple+iPhone+X&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=1432c432-005c-4c5e-a4a3-bb9f01f632f0.MOBEXRGVVTMF9FYV.SEARCH&ppt=sp&ppn=sp&ssid=vbfhyc6ggw0000001679673700783&qH=2d1166d8bbca8a3e
 Redmi Note 11,Xiaomi,"? 26,990",Flipkart,"8 GB RAM | 256 GB ROM
16.94 cm (6.67 inch) Display
108MP Rear Camera
5000 mAh Battery",https://www.flipkart.com/redmi-note-11-pro-plus-5g-phantom-white-256-gb/p/itmd029928dc2e7e?pid=MOBGHDXFGEGN7YTA&lid=LSTMOBGHDXFGEGN7YTAXQMN1Q&marketplace=FLIPKART&q=Xiaomi+Redmi+Note+11&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=e42d9617-2abb-4c78-8b46-60aa12d49985.MOBGHDXFGEGN7YTA.SEARCH&ppt=sp&ppn=sp&ssid=f0xyai660w0000001679673748616&qH=0e487e7a9a658c75
Galaxy S22 5G,Samsung ,"? 52,999",Amazon,"8 GB RAM | 128 GB ROM
15.49 cm (6.1 inch) Full HD+ Display
Octa Core Processor",https://www.amazon.in/Samsung-Phantom-Storage-Additional-Exchange/dp/B09SH8JPCJ/ref=sr_1_1_sspa?crid=3TO4GKKPKRJ54&keywords=Samsung%2BGalaxy%2BS22%2B5G&qid=1679674425&sprefix=xiao%2Caps%2C453&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
