Name,Brand,Price,Shop_from,Link
Apple Watch Ultra,Apple,"? 85,390",Amazon,https://www.amazon.in/Apple-Cellular-Rugged-Titanium-Alpine/dp/B0BDJWQ4TZ/ref=sr_1_3?crid=P6FDU6GQN7J&keywords=Apple+Watch+Ultra&qid=1679677713&sprefix=a%2Caps%2C309&sr=8-3
APPLE Watch Series 8 GPS ,APPLE,"? 48,900",Flipkart,https://www.flipkart.com/apple-watch-series-8-gps/p/itmdf796cc5f0c6f?pid=SMWGHWZ2C3MMKPXW&lid=LSTSMWGHWZ2C3MMKPXWJUXLTM&marketplace=FLIPKART&q=Apple+Watch+Series+8&store=ajy%2Fbuh&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=316bc408-d7bd-45dd-a46f-8810ab0fb574.SMWGHWZ2C3MMKPXW.SEARCH&ppt=sp&ppn=sp&qH=974a8ed9a05b7fe7
Garmin Venu 2 ,Garmin,"? 39,490",Amazon,https://www.amazon.in/Garmin-Venu-Smartwatch-Monitoring-Stainless/dp/B093Q5D43X/ref=sr_1_3?crid=1TAWSMS7BIXNK&keywords=Garmin%2BVenu%2B2&qid=1679678106&sprefix=garmin%2Bvenu%2B2%2Caps%2C347&sr=8-3&th=1
Google Pixel Watch ,Google,"? 36,700",Amazon,https://www.amazon.in/dp/B0BGX1CSRY/ref=sr_1_3?crid=2A4N74D7JZE04&keywords=Google+Pixel+Watch&qid=1679678301&sprefix=garmin+ve%2Caps%2C584&sr=8-3
Samsung Galaxy Watch5 ,Samsung,"? 30,999",Amazon,https://www.amazon.in/Samsung-Bluetooth-Graphite-Compatible-Android/dp/B0B99RZ38G/ref=sr_1_3?crid=1EEVN7X3B2OR0&keywords=Samsung+Galaxy+Watch+5&qid=1679678449&sprefix=samsung+galaxy+watch+5%2Caps%2C1493&sr=8-3
Apple Watch SE,Apple ,"? 21,999",Flipkart,https://www.flipkart.com/apple-watch-se-gps-40mm-space-grey-aluminium-case-midnight-sport-band/p/itmcec24dad0be9b?pid=SMWG6VNRRDZBE33G&lid=LSTSMWG6VNRRDZBE33GAMH3GE&marketplace=FLIPKART&q=Apple+Watch+SE&store=ajy%2Fbuh&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=4f228fa5-90be-4cf1-b029-9ade7e9a596f.SMWG6VNRRDZBE33G.SEARCH&ppt=sp&ppn=sp&ssid=4qaw00j81c0000001679678601560&qH=fa74c4159420fbbe
Fitbit Versa 3,Fitbit,"? 16,990",Amazon,https://www.amazon.in/Fitbit-Fitness-Smartwatch-Battery-Included/dp/B08DFPV5Y2/ref=sr_1_3?crid=324X8W0X6BQ05&keywords=Fitbit%2BVersa%2B3&qid=1679678685&sprefix=fitbit%2Bversa%2B3%2Caps%2C324&sr=8-3&th=1
Garmin Epix 2,Garmin,"? 98,989",Flipkart,https://www.flipkart.com/garmin-epix-gen-2-sapphire-up-16-days-battery-amoled-display-real-time-stamina-smartwatch/p/itm14226290f39dc?pid=SMWGBE6H6SGKG7JW&lid=LSTSMWGBE6H6SGKG7JWLWY36P&marketplace=FLIPKART&q=Garmin+Epix+2&store=ajy&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=d2ee81e9-72ab-440b-bbc5-4e40168cd0a2.SMWGBE6H6SGKG7JW.SEARCH&ppt=sp&ppn=sp&ssid=o2vggtrv280000001679678827259&qH=a633a9e7935bb1ac
Polar Grit X Pro,Polar,"? 1,02,278",Amazon,https://www.amazon.in/POLAR-Grit-Pro-Titan-Military-Durability/dp/B09HRPWK8C/ref=sr_1_1?crid=2GE6LXK0071JT&keywords=Polar%2BGrit%2BX%2BPro&qid=1679678932&sprefix=polar%2Bgrit%2Bx%2Bpro%2Caps%2C260&sr=8-1&th=1
GARMIN Lily ,GARMIN ,"? 20,990",Flipkart,https://www.flipkart.com/garmin-lily-classic-smartwatch-upto-5-days-battery-women-s-health-fitnesstracking-smartwatch/p/itmfc6d8e8fffbe6?pid=SMWGYY6DZPCFZ57V&lid=LSTSMWGYY6DZPCFZ57V1J0V5Z&marketplace=FLIPKART&q=Garmin+Lily.+&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=eabfc436-5d7e-4320-95a3-1d7d5036cd23.SMWGYY6DZPCFZ57V.SEARCH&ppt=sp&ppn=sp&ssid=2kek531ar40000001679679124090&qH=f6d9229853f6310f
Fitbit Sense 2,Fitbit ,"? 24,999",Amazon,https://www.amazon.in/Fitbit-Fitness-Aluminium-6-Month-Membership/dp/B0B75WWC8F/ref=sr_1_3?crid=23EO3OUY5OHQI&keywords=Fitbit+Sense+2&qid=1679679392&sprefix=fitbit+sense+2%2Caps%2C390&sr=8-3
Samsung Galaxy Watch4 Classic,Samsung,"? 17,560",Amazon,https://www.amazon.in/Galaxy-Watch4-Classic-Bluetooth-4-6cm/dp/B09DG9HY4M/ref=sr_1_2?crid=D80BN4UK9BX3&keywords=Samsung+Galaxy+Watch4+Classic&qid=1679679585&sprefix=samsung+galaxy+watch4+classic%2Caps%2C314&sr=8-2
