Name,Author,Price,Shop_From,Link
IT STARTS WITH US,Colleen Hoover,? 250,Amazon,https://www.amazon.in/Starts-Us-Colleen-Hoover/dp/1398518174/ref=sr_1_1?crid=2R5C4OHPHJQQ5&keywords=it+starts+with+us+by+colleen+hoover+paperback&qid=1679498720&sprefix=it+starts+with+us+by+colleen+hoover+paperback%2Caps%2C292&sr=8-1
TOMORROW AND TOMORROW,Gabrielle Zevin,? 454,Flipkart,https://www.flipkart.com/tomorrow-tomorrow/p/itm7dfb6e6f6e2f6?pid=9781784744656&lid=LSTBOK97817847446564U39UB&marketplace=FLIPKART&q=TOMORROW%2C+AND+TOMORROW%2C+AND+TOMORROW+by+Gabrielle+Zevin&store=bks&srno=s_1_1&otracker=search&otracker1=search&fm=Sear...
THE LIGHT WE CARRY,Michelle Obama,? 689,Amazon,https://www.amazon.in/Light-We-Carry-Overcoming-Uncertain/dp/0241621240/ref=sr_1_1?crid=67SKN1SXO2BX&keywords=THE+LIGHT+WE+CARRY+by+Michelle+Obama&qid=1679498931&sprefix=the+light+we+carry+by+michelle+obama%2Caps%2C278&sr=8-1
LESSONS IN CHEMISTRY,Bonnie Garmus,"? 2,256",Flipkart,https://www.flipkart.com/lessons-in-chemistry/p/itm9e246dacbce03?pid=9780593556672&lid=LSTBOK9780593556672ANA0ZJ&marketplace=FLIPKART&q=LESSONS+IN+CHEMISTRY+by+Bonnie+Garmus&store=bks&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=078a307f-b61...
IT ENDS WITH US,Colleen Hoover,? 250,Amazon,https://www.amazon.in/Ends-Us-Novel-Colleen-Hoover/dp/1501110365/ref=sr_1_1?crid=QMUQIX2FN0K4&keywords=it+ends+with+us+by+colleen+hoover+paperback&qid=1679498562&sprefix=it+ends+with+us+by+colleen+hoover+pa%2Caps%2C256&sr=8-1
THE JANUARY 6 REPORT,the House January 6th Committee,? 664,Amazon,https://www.amazon.in/January-6-Report-6th-Committee/dp/0063315505/ref=sr_1_7?crid=3VWE274NR9YGM&keywords=THE+JANUARY+6+REPORT+by+the+House+January+6th+Committee&qid=1679499495&sprefix=the+january+6+report+by+the+house+january+6th+committee%2Caps%2C595&s...
IM GLAD MY MOM DIED,Jennette McCurdy,? 449,Amazon,https://www.amazon.in/Jennette-McCurdys-Book-Glad-Hardcover/dp/B0BSR2C2D6/ref=sr_1_1?crid=26Q6IIQZ8E0MW&keywords=I%27M+GLAD+MY+MOM+DIED+by+Jennette+McCurdy&qid=1679499715&sprefix=i+m+glad+my+mom+died+by+jennette+mccurdy%2Caps%2C984&sr=8-1
THE BODY KEEPS THE SCORE,Bessel van der Kolk,"? 2,374",Flipkart,https://www.flipkart.com/body-keeps-score/p/itm5c78833e51880?pid=9780670785933&lid=LSTBOK9780670785933LYEKZ0&marketplace=FLIPKART&q=THE+BODY+KEEPS+THE+SCORE+by+Bessel+van+der+Kolk&store=bks&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=16a9e...
MAD HONEY,Jodi Picoult and Jennifer,"? 2,859",Flipkart,https://www.flipkart.com/mad-honey/p/itma72efcdc576bc?pid=9781984818386&lid=LSTBOK9781984818386RVRBAP&marketplace=FLIPKART&q=MAD+HONEY+by+Jodi+Picoult+and+Jennifer&store=bks&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=60ea2314-ff4f-4385-900...
THE JANUARY 6TH REPORT,the Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,"? 1,336",Amazon,https://www.amazon.in/January-Report-Committee-Investigate-Capitol/dp/1250877520/ref=sr_1_2?crid=11XW7SQ5RFYH1&keywords=THE+JANUARY+6TH+REPORT+by+the+Select+Committee+to+Investigate+the+Jan.+6+Attack+on+the+United+States+Capitol&qid=1679500101&sprefix=mad+honey+%2Caps%2C748&sr=8-2
